"Preis";"Wohnflaeche";"Alter";"Klimaanlage";"Kamin";"Heizung"
132500;84,1694537346711;42;"Nein";"Ja";"Strom"
181115;181,438127090301;0;"Nein";"Nein";"Gas"
109000;180,602006688963;133;"Nein";"Ja";"Gas"
155000;180,602006688963;13;"Nein";"Ja";"Gas"
86060;78,0379041248606;0;"Ja";"Nein";"Gas"
120000;107,023411371237;31;"Nein";"Ja";"Gas"
153000;255,667038275734;33;"Nein";"Ja";"Oel"
170000;154,403567447046;23;"Nein";"Ja";"Oel"
90000;151,616499442586;36;"Nein";"Nein";"Strom"
122900;131,549609810479;4;"Nein";"Nein";"Gas"
325000;268,859160163508;123;"Nein";"Nein";"Oel"
120000;150,873281308064;1;"Nein";"Nein";"Gas"
85860;65,4031958379784;13;"Nein";"Nein";"Strom"
97000;128,483835005574;153;"Nein";"Nein";"Gas"
127000;120,772946859903;9;"Nein";"Nein";"Oel"
89900;86,9565217391304;88;"Nein";"Nein";"Gas"
155000;120,772946859903;9;"Nein";"Nein";"Oel"
253750;261,612783351914;0;"Ja";"Ja";"Gas"
60000;85,8416945373467;82;"Nein";"Nein";"Oel"
87500;101,449275362319;17;"Nein";"Nein";"Oel"
112000;98,1047937569677;12;"Nein";"Nein";"Strom"
104900;148,643626904496;21;"Nein";"Nein";"Strom"
148635;146,413972500929;1;"Ja";"Nein";"Gas"
150000;193,236714975845;24;"Nein";"Nein";"Oel"
90400;148,643626904496;16;"Nein";"Nein";"Strom"
248800;206,61464139725;28;"Nein";"Nein";"Oel"
135000;153,846153846154;126;"Nein";"Nein";"Oel"
145000;108,695652173913;26;"Nein";"Nein";"Oel"
457000;228,632478632479;53;"Nein";"Ja";"Oel"
140000;143,441099962839;56;"Ja";"Ja";"Oel"
130000;113,340765514679;51;"Nein";"Ja";"Oel"
187000;172,612411742847;3;"Nein";"Ja";"Gas"
229000;206,150130063174;9;"Nein";"Ja";"Gas"
227000;174,284652545522;201;"Nein";"Nein";"Oel"
179900;188,219992567819;1;"Nein";"Ja";"Gas"
169900;155,239687848384;19;"Ja";"Ja";"Gas"
209900;191,378669639539;1;"Nein";"Ja";"Gas"
169900;175,027870680045;0;"Nein";"Ja";"Gas"
293000;187,848383500557;43;"Nein";"Ja";"Gas"
245900;222,408026755853;0;"Ja";"Ja";"Gas"
157000;129,134150873281;45;"Nein";"Ja";"Gas"
195000;181,531029357116;32;"Ja";"Nein";"Gas"
150000;144,370122630992;54;"Ja";"Ja";"Oel"
234900;183,574879227053;9;"Ja";"Nein";"Gas"
279550;230,304719435154;0;"Nein";"Ja";"Gas"
246500;252,136752136752;0;"Nein";"Ja";"Gas"
124000;74,0431066518023;98;"Nein";"Nein";"Oel"
138000;139,353400222965;54;"Nein";"Nein";"Gas"
290000;170,75436640654;73;"Nein";"Nein";"Oel"
108000;96,8041620215533;48;"Nein";"Ja";"Gas"
134900;165,551839464883;10;"Ja";"Nein";"Gas"
64500;137,495354886659;16;"Nein";"Ja";"Gas"
142000;132,478632478632;20;"Nein";"Ja";"Gas"
125000;130,434782608696;32;"Nein";"Nein";"Gas"
88000;137,495354886659;15;"Ja";"Ja";"Gas"
135000;124,860646599777;135;"Nein";"Nein";"Gas"
90000;137,495354886659;14;"Ja";"Ja";"Gas"
90100;137,495354886659;15;"Nein";"Ja";"Gas"
126900;148,272017837235;10;"Nein";"Nein";"Gas"
175000;164,251207729469;15;"Nein";"Ja";"Strom"
158000;125,232255667038;10;"Ja";"Ja";"Gas"
92000;137,495354886659;14;"Nein";"Ja";"Gas"
82800;137,774061687105;225;"Nein";"Nein";"Gas"
140000;146,413972500929;25;"Ja";"Ja";"Gas"
171000;93,6454849498328;15;"Nein";"Nein";"Strom"
200640;216,648086213304;0;"Nein";"Nein";"Gas"
139000;98,8480118914902;30;"Nein";"Ja";"Oel"
225000;225,566703827573;12;"Ja";"Ja";"Gas"
182000;121,701969528056;16;"Nein";"Ja";"Strom"
208767;154,403567447046;0;"Ja";"Nein";"Gas"
186000;185,804533630621;0;"Nein";"Nein";"Gas"
93000;137,495354886659;14;"Nein";"Ja";"Gas"
257386;275,826830174656;0;"Ja";"Ja";"Gas"
161000;143,255295429208;10;"Ja";"Nein";"Gas"
92000;141,861761426979;18;"Nein";"Nein";"Oel"
211002;203,920475659606;0;"Nein";"Nein";"Gas"
115000;137,495354886659;14;"Nein";"Ja";"Gas"
113000;134,894091415831;53;"Ja";"Nein";"Oel"
216300;219,249349684132;0;"Nein";"Nein";"Gas"
145000;133,779264214047;32;"Nein";"Ja";"Oel"
114000;137,495354886659;14;"Nein";"Ja";"Strom"
139050;174,563359345968;125;"Nein";"Nein";"Gas"
104000;137,495354886659;14;"Nein";"Nein";"Gas"
169900;166,480862133036;11;"Nein";"Nein";"Gas"
177900;128,76254180602;2;"Nein";"Nein";"Gas"
133000;155,70419918246;14;"Ja";"Ja";"Strom"
185000;71,3489409141583;0;"Nein";"Nein";"Gas"
115000;144,927536231884;16;"Ja";"Ja";"Strom"
100000;92,9022668153103;91;"Nein";"Nein";"Oel"
117000;155,70419918246;15;"Nein";"Ja";"Strom"
150000;153,846153846154;11;"Nein";"Nein";"Strom"
187500;213,675213675214;11;"Nein";"Ja";"Strom"
107000;159,048680787811;25;"Nein";"Ja";"Gas"
126900;125,418060200669;26;"Nein";"Nein";"Gas"
147000;155,70419918246;15;"Nein";"Ja";"Gas"
62000;122,352285395764;103;"Nein";"Nein";"Gas"
101000;98,1047937569677;30;"Nein";"Ja";"Gas"
143500;84,726867335563;13;"Nein";"Nein";"Gas"
113400;114,455592716462;18;"Nein";"Nein";"Strom"
76320;128,205128205128;68;"Nein";"Ja";"Gas"
110000;86,9565217391304;10;"Ja";"Nein";"Gas"
88000;66,8896321070234;49;"Nein";"Nein";"Gas"
108000;151,244890375325;30;"Nein";"Ja";"Oel"
114900;106,280193236715;41;"Nein";"Nein";"Gas"
146000;169,732441471572;2;"Nein";"Nein";"Gas"
225000;165,737643998514;8;"Nein";"Ja";"Oel"
138000;171,962095875139;16;"Ja";"Ja";"Gas"
218070;203,827573392791;0;"Nein";"Nein";"Gas"
25000;85,4700854700855;75;"Nein";"Nein";"Oel"
112000;118,914901523597;36;"Nein";"Nein";"Gas"
112500;114,455592716462;43;"Nein";"Ja";"Strom"
97000;130,620587142326;45;"Nein";"Nein";"Gas"
121000;108,138238573021;6;"Nein";"Nein";"Gas"
65720;111,296915644742;123;"Nein";"Nein";"Gas"
225000;204,942400594575;10;"Ja";"Ja";"Gas"
192000;174,656261612783;0;"Ja";"Ja";"Gas"
158500;127,090301003344;6;"Nein";"Nein";"Oel"
247000;176,607209215905;16;"Ja";"Ja";"Gas"
193777;143,719806763285;11;"Nein";"Nein";"Gas"
136500;83,240431066518;12;"Nein";"Nein";"Gas"
75000;93,6454849498328;45;"Nein";"Nein";"Gas"
45000;84,726867335563;75;"Nein";"Nein";"Gas"
243000;226,960237829803;12;"Nein";"Nein";"Gas"
90000;83,6120401337793;83;"Nein";"Nein";"Gas"
158000;194,908955778521;0;"Ja";"Nein";"Gas"
174000;196,488294314381;9;"Nein";"Ja";"Gas"
150000;124,860646599777;12;"Nein";"Ja";"Gas"
159650;102,749907097733;3;"Nein";"Nein";"Gas"
139062;133,779264214047;33;"Nein";"Ja";"Gas"
84950;78,0379041248606;0;"Nein";"Nein";"Gas"
102000;108,695652173913;10;"Nein";"Nein";"Gas"
175000;154,589371980676;15;"Nein";"Nein";"Oel"
78500;280,936454849498;153;"Nein";"Nein";"Oel"
232478;241,360089186176;0;"Nein";"Ja";"Gas"
93805;78,0379041248606;0;"Nein";"Nein";"Gas"
119900;158,026755852843;63;"Nein";"Nein";"Oel"
146000;135,265700483092;33;"Nein";"Ja";"Oel"
125000;113,71237458194;44;"Nein";"Nein";"Oel"
135000;131,085098476403;48;"Nein";"Ja";"Gas"
157500;149,386845039019;29;"Nein";"Ja";"Oel"
135000;280,564845782237;178;"Nein";"Nein";"Oel"
142900;176,328502415459;32;"Nein";"Ja";"Gas"
259900;236,343366778149;1;"Ja";"Ja";"Gas"
85000;96,4325529542921;16;"Nein";"Nein";"Strom"
180377;169,082125603865;1;"Nein";"Ja";"Gas"
163500;204,570791527313;21;"Ja";"Ja";"Strom"
106500;221,757710888146;53;"Nein";"Nein";"Oel"
115000;127,090301003344;16;"Ja";"Ja";"Strom"
115000;137,495354886659;16;"Ja";"Ja";"Strom"
135000;125,232255667038;15;"Ja";"Ja";"Strom"
198900;175,492382014121;7;"Ja";"Ja";"Gas"
139000;124,767744332962;16;"Ja";"Ja";"Strom"
206000;186,826458565589;15;"Ja";"Ja";"Gas"
120000;109,624674842066;15;"Ja";"Ja";"Gas"
205980;184,22519509476;1;"Ja";"Ja";"Gas"
275000;209,308807134894;14;"Ja";"Ja";"Gas"
139000;149,015235971758;12;"Ja";"Nein";"Gas"
89900;111,111111111111;83;"Nein";"Nein";"Gas"
139900;148,829431438127;13;"Ja";"Nein";"Gas"
172750;162,300260126347;1;"Nein";"Nein";"Gas"
136000;101,449275362319;37;"Nein";"Nein";"Oel"
270000;223,894463024898;10;"Ja";"Ja";"Gas"
174000;179,580081753995;14;"Ja";"Ja";"Gas"
379000;286,138981791156;9;"Ja";"Ja";"Gas"
382500;421,218877740617;13;"Ja";"Ja";"Oel"
144900;155,797101449275;14;"Ja";"Ja";"Gas"
349900;269,4165737644;7;"Ja";"Ja";"Gas"
133000;129,319955406912;16;"Ja";"Ja";"Strom"
115000;98,2905982905983;15;"Nein";"Ja";"Gas"
211950;217,577108881457;1;"Ja";"Ja";"Gas"
227812;204,942400594575;0;"Ja";"Ja";"Gas"
164400;140,83983649201;1;"Ja";"Ja";"Gas"
340000;263,47082868822;12;"Ja";"Ja";"Gas"
139900;116,68524712003;15;"Ja";"Nein";"Gas"
279900;217,391304347826;6;"Ja";"Ja";"Gas"
225000;197,788926049796;0;"Ja";"Ja";"Gas"
144500;124,767744332962;15;"Ja";"Ja";"Gas"
362710;275,269416573764;0;"Ja";"Ja";"Gas"
247000;196,395392047566;13;"Ja";"Ja";"Gas"
120000;106,280193236715;16;"Ja";"Ja";"Strom"
136000;91,7874396135266;33;"Nein";"Ja";"Oel"
228500;137,030843552583;9;"Nein";"Nein";"Gas"
162800;115,849126718692;10;"Nein";"Nein";"Gas"
230000;177,629134150873;48;"Nein";"Ja";"Gas"
115800;133,779264214047;23;"Nein";"Nein";"Oel"
175000;148,272017837235;16;"Ja";"Ja";"Gas"
263008;247,584541062802;0;"Ja";"Ja";"Gas"
146000;184,318097361576;35;"Nein";"Nein";"Gas"
204900;150,130063173541;10;"Ja";"Nein";"Gas"
265000;178,09364548495;9;"Nein";"Ja";"Gas"
167500;240,802675585284;37;"Nein";"Ja";"Oel"
205000;171,404682274248;6;"Nein";"Ja";"Gas"
170000;126,347082868822;53;"Ja";"Nein";"Oel"
176000;154,589371980676;35;"Ja";"Ja";"Gas"
132000;102,006688963211;15;"Ja";"Ja";"Gas"
115500;112,783351913787;17;"Nein";"Nein";"Strom"
150000;97,1757710888146;93;"Nein";"Nein";"Strom"
120000;106,280193236715;103;"Nein";"Nein";"Oel"
125000;105,908584169454;16;"Ja";"Ja";"Gas"
150000;114,455592716462;14;"Nein";"Ja";"Gas"
362360;280,564845782237;0;"Ja";"Ja";"Gas"
133500;140,096618357488;19;"Nein";"Ja";"Gas"
91000;84,726867335563;19;"Nein";"Ja";"Strom"
104000;140,096618357488;18;"Nein";"Nein";"Strom"
148000;145,020438498699;17;"Nein";"Ja";"Gas"
182000;243,86845039019;30;"Nein";"Ja";"Gas"
152500;86,9565217391304;30;"Nein";"Ja";"Gas"
97000;84,726867335563;19;"Nein";"Nein";"Strom"
113000;138,610182088443;16;"Nein";"Nein";"Strom"
172000;148,550724637681;30;"Nein";"Ja";"Gas"
179900;214,046822742475;25;"Nein";"Ja";"Strom"
84000;84,726867335563;19;"Nein";"Nein";"Strom"
117900;128,669639539205;17;"Ja";"Ja";"Gas"
177000;145,020438498699;17;"Nein";"Nein";"Strom"
107500;82,1256038647343;20;"Nein";"Nein";"Gas"
92500;84,726867335563;18;"Nein";"Nein";"Strom"
102900;84,726867335563;17;"Nein";"Nein";"Gas"
134800;128,576737272389;73;"Nein";"Nein";"Oel"
150000;123,931623931624;7;"Nein";"Nein";"Gas"
165000;133,12894834634;10;"Ja";"Ja";"Gas"
120000;138,610182088443;16;"Nein";"Ja";"Strom"
177500;145,020438498699;16;"Ja";"Ja";"Gas"
300000;86,9565217391304;11;"Nein";"Nein";"Strom"
123500;138,610182088443;16;"Nein";"Ja";"Strom"
141000;172,14790040877;18;"Nein";"Nein";"Strom"
105400;115,198810850985;15;"Nein";"Nein";"Strom"
100600;84,726867335563;19;"Nein";"Nein";"Strom"
108900;84,726867335563;19;"Nein";"Nein";"Gas"
105500;84,726867335563;19;"Nein";"Nein";"Gas"
109900;109,996283909327;19;"Nein";"Nein";"Gas"
172700;152,173913043478;18;"Nein";"Ja";"Strom"
166500;140,096618357488;16;"Nein";"Ja";"Strom"
105000;62,4303232998885;50;"Nein";"Nein";"Strom"
490000;125,046451133408;18;"Nein";"Ja";"Oel"
120000;109,996283909327;18;"Nein";"Nein";"Strom"
107500;84,726867335563;16;"Nein";"Nein";"Gas"
116600;84,726867335563;18;"Nein";"Ja";"Strom"
65000;91,7874396135266;19;"Nein";"Nein";"Gas"
118000;109,996283909327;19;"Nein";"Nein";"Gas"
115900;128,669639539205;16;"Nein";"Nein";"Strom"
100000;84,726867335563;18;"Nein";"Nein";"Gas"
171000;143,8127090301;18;"Ja";"Ja";"Gas"
188000;145,020438498699;17;"Nein";"Nein";"Strom"
140000;93,6454849498328;24;"Ja";"Nein";"Gas"
124500;128,669639539205;17;"Nein";"Nein";"Strom"
107200;84,3552582683018;19;"Nein";"Nein";"Gas"
107500;208,658491267187;138;"Nein";"Nein";"Oel"
180000;169,082125603865;16;"Nein";"Ja";"Gas"
214325;237,272389446302;0;"Ja";"Ja";"Gas"
128850;76,5514678558157;16;"Nein";"Nein";"Strom"
208700;228,353771832033;0;"Nein";"Ja";"Gas"
139900;123,002601263471;22;"Nein";"Nein";"Strom"
350000;270,903010033445;12;"Ja";"Ja";"Gas"
108000;95,8751393534002;19;"Nein";"Nein";"Strom"
115500;84,726867335563;16;"Nein";"Ja";"Strom"
135000;122,63099219621;35;"Nein";"Nein";"Strom"
135000;140,096618357488;17;"Nein";"Ja";"Gas"
107400;84,726867335563;16;"Nein";"Ja";"Strom"
233000;189,520624303233;12;"Ja";"Ja";"Gas"
105000;84,726867335563;17;"Nein";"Ja";"Strom"
335000;164,994425863991;10;"Ja";"Nein";"Oel"
139000;121,144555927165;25;"Nein";"Nein";"Strom"
209500;170,56856187291;10;"Ja";"Ja";"Gas"
101000;84,726867335563;18;"Nein";"Nein";"Strom"
77500;84,726867335563;19;"Nein";"Nein";"Strom"
150500;141,861761426979;16;"Nein";"Ja";"Strom"
167000;135,079895949461;17;"Nein";"Nein";"Strom"
114000;157,933853586028;26;"Nein";"Ja";"Oel"
160000;156,075808249721;27;"Nein";"Nein";"Strom"
85000;223,05834262356;0;"Ja";"Ja";"Gas"
143000;109,253065774805;21;"Nein";"Nein";"Strom"
126000;124,860646599777;24;"Nein";"Ja";"Strom"
140000;124,860646599777;23;"Nein";"Nein";"Strom"
140000;159,234485321442;9;"Nein";"Nein";"Gas"
205000;185,061315496098;20;"Nein";"Ja";"Gas"
79900;85,8416945373467;19;"Ja";"Nein";"Gas"
139000;119,84392419175;24;"Ja";"Ja";"Gas"
190000;234,206614641397;36;"Nein";"Ja";"Gas"
151500;127,926421404682;58;"Nein";"Ja";"Oel"
97500;114,920104050539;19;"Ja";"Ja";"Gas"
194500;214,604236343367;41;"Ja";"Ja";"Gas"
195160;173,076923076923;0;"Nein";"Ja";"Gas"
152500;157,28353771832;26;"Ja";"Ja";"Gas"
159500;156,447417316983;26;"Ja";"Ja";"Gas"
185000;147,250092902267;16;"Ja";"Ja";"Strom"
240000;212,746191007061;8;"Ja";"Ja";"Gas"
187900;228,911185432925;32;"Ja";"Ja";"Gas"
262000;236,807878112226;5;"Ja";"Ja";"Gas"
212500;215,161649944259;6;"Ja";"Ja";"Gas"
220000;241,545893719807;18;"Ja";"Ja";"Gas"
245000;248,699368264586;15;"Ja";"Ja";"Gas"
120000;137,402452619844;19;"Ja";"Nein";"Strom"
102500;105,722779635823;16;"Ja";"Nein";"Strom"
136000;146,413972500929;24;"Nein";"Nein";"Gas"
212500;193,608324043107;10;"Ja";"Ja";"Gas"
205900;160,349312523226;26;"Ja";"Ja";"Gas"
259900;171,962095875139;2;"Ja";"Ja";"Gas"
191500;214,604236343367;30;"Nein";"Ja";"Gas"
272500;272,203641768859;0;"Nein";"Ja";"Gas"
191500;239,316239316239;33;"Nein";"Ja";"Gas"
158000;154,589371980676;36;"Nein";"Ja";"Gas"
195000;114,920104050539;24;"Nein";"Nein";"Strom"
187500;247,305834262356;29;"Ja";"Ja";"Gas"
160000;146,321070234114;35;"Nein";"Ja";"Gas"
137500;145,484949832776;12;"Ja";"Nein";"Gas"
109900;123,188405797101;16;"Ja";"Ja";"Gas"
85000;137,495354886659;18;"Nein";"Nein";"Gas"
184350;200,761798587886;0;"Nein";"Ja";"Gas"
134500;125,6038647343;10;"Ja";"Ja";"Gas"
154900;153,102935711631;33;"Ja";"Nein";"Gas"
255000;272,761055369751;25;"Ja";"Ja";"Gas"
238600;223,337049424006;1;"Nein";"Ja";"Gas"
106000;161,464139725009;36;"Nein";"Nein";"Gas"
625000;485,693050910442;14;"Ja";"Ja";"Gas"
195000;239,316239316239;34;"Nein";"Ja";"Gas"
168500;147,342995169082;34;"Nein";"Ja";"Gas"
87000;137,495354886659;19;"Nein";"Nein";"Strom"
215000;178,09364548495;15;"Nein";"Ja";"Gas"
197500;180,044593088071;30;"Ja";"Ja";"Gas"
215000;196,023782980305;3;"Ja";"Ja";"Gas"
118000;137,402452619844;19;"Nein";"Nein";"Gas"
187900;239,316239316239;34;"Nein";"Ja";"Gas"
275000;227,146042363434;18;"Ja";"Ja";"Gas"
249900;202,991452991453;14;"Ja";"Ja";"Gas"
270000;193,050910442215;18;"Ja";"Ja";"Strom"
157900;155,518394648829;37;"Nein";"Ja";"Gas"
120000;114,083983649201;19;"Nein";"Nein";"Strom"
126400;127,740616871052;22;"Ja";"Ja";"Strom"
220000;153,288740245262;16;"Ja";"Ja";"Gas"
180000;159,606094388703;31;"Ja";"Ja";"Gas"
203600;239,316239316239;33;"Nein";"Ja";"Gas"
249900;211,817168338907;4;"Nein";"Ja";"Gas"
193000;193,979933110368;18;"Nein";"Ja";"Gas"
215000;178,09364548495;15;"Nein";"Ja";"Gas"
201000;291,713117800074;29;"Nein";"Ja";"Gas"
65000;95,5964325529543;73;"Nein";"Nein";"Gas"
195000;176,142697881828;36;"Ja";"Ja";"Gas"
215900;214,604236343367;38;"Nein";"Ja";"Gas"
92000;85,8416945373467;17;"Nein";"Ja";"Strom"
155000;193,236714975845;25;"Ja";"Ja";"Gas"
123500;114,920104050539;22;"Ja";"Ja";"Strom"
110400;119,565217391304;29;"Ja";"Nein";"Gas"
198900;171,590486807878;18;"Nein";"Ja";"Gas"
150000;98,8480118914902;49;"Ja";"Nein";"Gas"
104000;137,495354886659;18;"Ja";"Ja";"Gas"
245000;228,725380899294;23;"Ja";"Ja";"Gas"
180000;206,986250464511;17;"Nein";"Ja";"Gas"
154300;117,056856187291;61;"Nein";"Nein";"Gas"
170000;144,834633965069;30;"Nein";"Ja";"Gas"
219000;183,946488294314;25;"Ja";"Ja";"Gas"
295000;221,107395020439;9;"Nein";"Ja";"Gas"
181500;175,306577480491;27;"Nein";"Ja";"Gas"
260000;202,991452991453;133;"Nein";"Ja";"Gas"
239900;231,140839836492;15;"Ja";"Ja";"Strom"
135500;107,023411371237;56;"Nein";"Nein";"Gas"
191500;188,127090301003;15;"Nein";"Ja";"Gas"
225000;234,206614641397;37;"Nein";"Ja";"Gas"
98500;137,495354886659;18;"Ja";"Nein";"Gas"
110500;137,495354886659;17;"Ja";"Ja";"Gas"
290000;219,435154217763;7;"Nein";"Ja";"Gas"
184400;177,443329617243;31;"Ja";"Ja";"Gas"
178500;181,345224823486;12;"Nein";"Ja";"Oel"
415000;311,965811965812;9;"Ja";"Ja";"Gas"
244900;194,165737643999;26;"Ja";"Ja";"Gas"
150000;182,552954292085;35;"Ja";"Ja";"Gas"
168000;196,023782980305;33;"Ja";"Ja";"Gas"
159000;135,265700483092;43;"Nein";"Nein";"Gas"
127000;137,402452619844;18;"Nein";"Nein";"Gas"
175000;174,098848011892;29;"Nein";"Ja";"Gas"
255250;195,001858045336;0;"Nein";"Ja";"Gas"
175000;173,913043478261;33;"Nein";"Ja";"Gas"
235000;221,850613154961;17;"Ja";"Ja";"Strom"
324000;261,241174284653;18;"Ja";"Ja";"Gas"
173000;98,8480118914902;11;"Nein";"Ja";"Gas"
116900;127,740616871052;20;"Ja";"Nein";"Gas"
105900;137,495354886659;19;"Nein";"Nein";"Strom"
112000;117,056856187291;25;"Ja";"Ja";"Gas"
235000;193,794128576737;15;"Ja";"Ja";"Gas"
235000;240,431066518023;9;"Nein";"Ja";"Oel"
130000;137,495354886659;18;"Nein";"Nein";"Strom"
235000;162,764771460424;10;"Nein";"Ja";"Gas"
191900;247,120029728725;32;"Nein";"Ja";"Gas"
284900;224,544778892605;20;"Ja";"Ja";"Gas"
335000;259,476031215162;21;"Ja";"Ja";"Gas"
140000;107,023411371237;78;"Nein";"Nein";"Oel"
191000;217,762913415087;29;"Nein";"Ja";"Gas"
153000;178,929765886288;33;"Ja";"Ja";"Gas"
196000;205,128205128205;35;"Ja";"Ja";"Gas"
248000;205,128205128205;16;"Ja";"Ja";"Gas"
240000;251,57933853586;35;"Nein";"Ja";"Gas"
132000;106,094388703084;18;"Ja";"Nein";"Gas"
199000;234,94983277592;32;"Ja";"Ja";"Gas"
217000;166,945373467113;20;"Nein";"Nein";"Strom"
167000;149,665551839465;31;"Nein";"Ja";"Gas"
245000;239,316239316239;13;"Ja";"Ja";"Gas"
358000;246,469713861018;10;"Ja";"Nein";"Gas"
412500;361,947231512449;13;"Ja";"Ja";"Gas"
208000;147,250092902267;16;"Ja";"Ja";"Gas"
270000;257,710888145671;10;"Ja";"Ja";"Gas"
100000;119,193608324043;54;"Nein";"Ja";"Gas"
130000;105,536975102192;29;"Nein";"Nein";"Oel"
182500;176,142697881828;32;"Nein";"Ja";"Gas"
139000;142,697881828317;55;"Nein";"Ja";"Gas"
104000;137,495354886659;19;"Nein";"Ja";"Strom"
221000;194,72315124489;14;"Ja";"Ja";"Gas"
260000;215,904868078781;8;"Ja";"Nein";"Gas"
182500;193,14381270903;29;"Nein";"Ja";"Gas"
196000;177,536231884058;33;"Ja";"Ja";"Gas"
132000;137,495354886659;18;"Ja";"Ja";"Gas"
224900;205,128205128205;25;"Nein";"Ja";"Gas"
199900;135,823114083984;9;"Nein";"Nein";"Gas"
165835;166,666666666667;38;"Nein";"Ja";"Gas"
189000;175,213675213675;38;"Nein";"Ja";"Gas"
89900;100,334448160535;19;"Nein";"Nein";"Strom"
235000;239,316239316239;34;"Ja";"Ja";"Gas"
166000;140,096618357488;26;"Nein";"Ja";"Gas"
153100;155,332590115199;35;"Nein";"Ja";"Gas"
162000;161,557041991825;35;"Ja";"Ja";"Gas"
224000;285,581568190264;40;"Nein";"Ja";"Gas"
222400;183,574879227053;3;"Nein";"Ja";"Gas"
199000;213,861018208844;37;"Nein";"Ja";"Gas"
166000;137,495354886659;13;"Ja";"Ja";"Gas"
149900;89,1861761426979;11;"Nein";"Nein";"Gas"
152000;146,971386101821;16;"Nein";"Nein";"Strom"
162500;148,643626904496;154;"Nein";"Nein";"Oel"
274900;215,53325901152;5;"Nein";"Nein";"Gas"
100000;96,0609438870308;14;"Nein";"Nein";"Gas"
215000;138,238573021182;19;"Nein";"Nein";"Strom"
124000;98,1047937569677;17;"Nein";"Nein";"Strom"
125000;80,2675585284281;128;"Nein";"Nein";"Oel"
138000;144,184318097362;19;"Nein";"Ja";"Strom"
